level,kode_lengkap,nama_item,,,,,,,,,,,,,,,,,,,,,,,
7,1.3.2.05.01.05.060,Deacidificator Unit (Non Aquas),,,,,,,,,,,,,,,,,,,,,,,
7,1.3.2.05.01.05.061,Full Automatic Leaf Caster,,,,,,,,,,,,,,,,,,,,,,,
7,1.3.2.05.01.05.062,Conservation Tools,,,,,,,,,,,,,,,,,,,,,,,
7,1.3.2.05.01.05.063,Board Stand,,,,,,,,,,,,,,,,,,,,,,,
7,1.3.2.05.01.05.064,Vacuum Freeze Dry Chamber,,,,,,,,,,,,,,,,,,,,,,,
7,1.3.2.05.01.05.065,Kotak Surat,,,,,,,,,,,,,,,,,,,,,,,
7,1.3.2.05.01.05.066,Gembok,,,,,,,,,,,,,,,,,,,,,,,
7,1.3.2.05.01.05.067,Compact Hand Projector,,,,,,,,,,,,,,,,,,,,,,,
7,1.3.2.05.01.05.068,Alat Sidik Jari,,,,,,,,,,,,,,,,,,,,,,,
7,1.3.2.05.01.05.069,Alat Penghancur Jarum,,,,,,,,,,,,,,,,,,,,,,,
7,1.3.2.05.01.05.070,Walkthrough/Portal Metal Detektor,,,,,,,,,,,,,,,,,,,,,,,
7,1.3.2.05.01.05.071,Handheld Trace Detector,,,,,,,,,,,,,,,,,,,,,,,
7,1.3.2.05.01.05.072,Alat Deteksi Pita Cukai Palsi/Video Spectral Comparator,,,,,,,,,,,,,,,,,,,,,,,
7,1.3.2.05.01.05.073,Mesin Packing/Strapping Machine,,,,,,,,,,,,,,,,,,,,,,,
7,1.3.2.05.01.05.074,Television Control Operational Lift,,,,,,,,,,,,,,,,,,,,,,,
7,1.3.2.05.01.05.075,Mesin Antrian,,,,,,,,,,,,,,,,,,,,,,,
7,1.3.2.05.01.05.076,Papan Nama Instansi,,,,,,,,,,,,,,,,,,,,,,,
7,1.3.2.05.01.05.077,Papan Pengumuman,,,,,,,,,,,,,,,,,,,,,,,
7,1.3.2.05.01.05.078,Papan Tulis,,,,,,,,,,,,,,,,,,,,,,,
7,1.3.2.05.01.05.079,Papan Absen,,,,,,,,,,,,,,,,,,,,,,,
7,1.3.2.05.01.05.080,Mesin Fogging,,,,,,,,,,,,,,,,,,,,,,,
7,1.3.2.05.01.05.081,Teralis,,,,,,,,,,,,,,,,,,,,,,,
7,1.3.2.05.01.05.082,Alat Penerjemah,,,,,,,,,,,,,,,,,,,,,,,
